p_id,p_name,p_college,p_college,country,p_id,p_height
641,Bubba Wells                                                                                                                                                                                                                                                     ,Austin Peay                                                                                                                                                                                                                                                     ,Austin Peay                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,641,195
717,Travis Williams                                                                                                                                                                                                                                                 ,South Carolina State                                                                                                                                                                                                                                            ,South Carolina State                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,717,200
755,Tariq Abdul-Wahad                                                                                                                                                                                                                                               ,San Jose State                                                                                                                                                                                                                                                  ,San Jose State                                                                                                                                                                                                                                                  ,France                                                                                                                                                                                                                                                          ,755,198
818,Kebu Stewart                                                                                                                                                                                                                                                    ,Cal State-Bakersfield                                                                                                                                                                                                                                           ,Cal State-Bakersfield                                                                                                                                                                                                                                           ,USA                                                                                                                                                                                                                                                             ,818,203
821,Keith Closs                                                                                                                                                                                                                                                     ,Central Connecticut State                                                                                                                                                                                                                                       ,Central Connecticut State                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,821,220
887,Cuttino Mobley                                                                                                                                                                                                                                                  ,Rhode Island                                                                                                                                                                                                                                                    ,Rhode Island                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,887,193
904,Charles R. Jones                                                                                                                                                                                                                                                ,Long Island-Brooklyn                                                                                                                                                                                                                                            ,Long Island-Brooklyn                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,904,190
952,Gerard King                                                                                                                                                                                                                                                     ,Nicholls State                                                                                                                                                                                                                                                  ,Nicholls State                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,952,205
1048,Bonzi Wells                                                                                                                                                                                                                                                     ,Ball State                                                                                                                                                                                                                                                      ,Ball State                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,1048,195
1062,Bryce Drew                                                                                                                                                                                                                                                      ,Valparaiso                                                                                                                                                                                                                                                      ,Valparaiso                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,1062,190
1067,Casey Shaw                                                                                                                                                                                                                                                      ,Toledo                                                                                                                                                                                                                                                          ,Toledo                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,1067,210
1107,Peter Aluma                                                                                                                                                                                                                                                     ,Liberty                                                                                                                                                                                                                                                         ,Liberty                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,1107,208
1148,Negele Knight                                                                                                                                                                                                                                                   ,Dayton                                                                                                                                                                                                                                                          ,Dayton                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,1148,185
1217,Jerome James                                                                                                                                                                                                                                                    ,Florida A&M                                                                                                                                                                                                                                                     ,Florida A&M                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,1217,215
1290,Larry Hughes                                                                                                                                                                                                                                                    ,Saint Louis                                                                                                                                                                                                                                                     ,Saint Louis                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,1290,195
1329,Milt Palacio                                                                                                                                                                                                                                                    ,Colorado State                                                                                                                                                                                                                                                  ,Colorado State                                                                                                                                                                                                                                                  ,Belize                                                                                                                                                                                                                                                          ,1329,190
1434,Tim James                                                                                                                                                                                                                                                       ,Miami (FL)                                                                                                                                                                                                                                                      ,Miami (FL)                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,1434,200
1490,Rick Hughes                                                                                                                                                                                                                                                     ,Thomas More                                                                                                                                                                                                                                                     ,Thomas More                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,1490,205
1505,Rafer Alston                                                                                                                                                                                                                                                    ,Fresno State                                                                                                                                                                                                                                                    ,Fresno State                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,1505,187
1556,Devean George                                                                                                                                                                                                                                                   ,Augsburg                                                                                                                                                                                                                                                        ,Augsburg                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,1556,203
1573,Eddie Robinson                                                                                                                                                                                                                                                  ,Central Oklahoma                                                                                                                                                                                                                                                ,Central Oklahoma                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,1573,205
1600,DeMarco Johnson                                                                                                                                                                                                                                                 ,North Carolina-Charlotte                                                                                                                                                                                                                                        ,North Carolina-Charlotte                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,1600,205
1627,Jason Miskiri                                                                                                                                                                                                                                                   ,George Mason                                                                                                                                                                                                                                                    ,George Mason                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,1627,187
1629,Jeff Foster                                                                                                                                                                                                                                                     ,Texas State                                                                                                                                                                                                                                                     ,Texas State                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,1629,210
1647,Evan Eschmeyer                                                                                                                                                                                                                                                  ,Northwestern                                                                                                                                                                                                                                                    ,Northwestern                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,1647,210
1688,Anthony Carter                                                                                                                                                                                                                                                  ,Hawaii                                                                                                                                                                                                                                                          ,Hawaii                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,1688,185
1690,Chucky Atkins                                                                                                                                                                                                                                                   ,South Florida                                                                                                                                                                                                                                                   ,South Florida                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,1690,180
1699,Aleksandar Radojevic                                                                                                                                                                                                                                            ,Barton Community College                                                                                                                                                                                                                                        ,Barton Community College                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,1699,220
1758,Mike Penberthy                                                                                                                                                                                                                                                  ,Master's                                                                                                                                                                                                                                                        ,Master's                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,1758,190
1759,Mike Smith                                                                                                                                                                                                                                                      ,Louisiana-Monroe                                                                                                                                                                                                                                                ,Louisiana-Monroe                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,1759,203
1835,Raja Bell                                                                                                                                                                                                                                                       ,Florida International                                                                                                                                                                                                                                           ,Florida International                                                                                                                                                                                                                                           ,U.S. Virgin Islands                                                                                                                                                                                                                                             ,1835,195
2016,Andy Panko                                                                                                                                                                                                                                                      ,Lebanon Valley                                                                                                                                                                                                                                                  ,Lebanon Valley                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,2016,205
2091,Garth Joseph                                                                                                                                                                                                                                                    ,Saint Rose                                                                                                                                                                                                                                                      ,Saint Rose                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,2091,218
2119,Stephen Jackson                                                                                                                                                                                                                                                 ,Butler Community College                                                                                                                                                                                                                                        ,Butler Community College                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,2119,203
2122,Steve Goodrich                                                                                                                                                                                                                                                  ,Princeton                                                                                                                                                                                                                                                       ,Princeton                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,2122,208
2144,David Vanterpool                                                                                                                                                                                                                                                ,St. Bonaventure                                                                                                                                                                                                                                                 ,St. Bonaventure                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,2144,195
2154,Daniel Santiago                                                                                                                                                                                                                                                 ,Saint Vincent                                                                                                                                                                                                                                                   ,Saint Vincent                                                                                                                                                                                                                                                   ,Puerto Rico                                                                                                                                                                                                                                                     ,2154,215
2156,Dan McClintock                                                                                                                                                                                                                                                  ,Northern Arizona                                                                                                                                                                                                                                                ,Northern Arizona                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,2156,213
2229,Speedy Claxton                                                                                                                                                                                                                                                  ,Hofstra                                                                                                                                                                                                                                                         ,Hofstra                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,2229,180
2287,Oscar Torres                                                                                                                                                                                                                                                    ,Venezuela                                                                                                                                                                                                                                                       ,Venezuela                                                                                                                                                                                                                                                       ,Venezuela                                                                                                                                                                                                                                                       ,2287,198
2360,Jeryl Sasser                                                                                                                                                                                                                                                    ,Southern Methodist                                                                                                                                                                                                                                              ,Southern Methodist                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,2360,198
2458,Kedrick Brown                                                                                                                                                                                                                                                   ,Northwest Florida State                                                                                                                                                                                                                                         ,Northwest Florida State                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,2458,200
2495,Chris Andersen                                                                                                                                                                                                                                                  ,Blinn                                                                                                                                                                                                                                                           ,Blinn                                                                                                                                                                                                                                                           ,USA                                                                                                                                                                                                                                                             ,2495,208
2581,Ernest Brown                                                                                                                                                                                                                                                    ,Indian Hills Community College                                                                                                                                                                                                                                  ,Indian Hills Community College                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,2581,213
